Author,"Year","Publication_Type","Publisher_or_Field","Publication_Status","Study_Design","Country","Language","Ethnicity_Sample","N_total","N_dropout","M_Age","SD_age","Percentage_female","ES_Std","ES_type","Variance_measure","Raw_Effect","Reference_Measure","Outcome_measure","Analysis_Type"
Button et al.," 2015 ","Journal Article","Clinical","public",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
